Cnt      PC           IR           RegW  RDin         MemW  MDin
0102     0000006c     8e130200     0     00000000     0     00000000
0103     0000006c     8e130200     0     00000000     0     00000000
0104     0000006c     8e130200     1     00000006     0     00000000
0105     0000006c     8e130200     0     00000000     0     00000000
0106     00000070     8e340200     0     00000000     0     00000000
0107     00000070     8e340200     0     00000000     0     00000000
0108     00000070     8e340200     0     00000000     0     00000000
0109     00000070     8e340200     1     00000000     0     00000000
010a     00000070     8e340200     0     00000000     0     00000000
010b     00000074     0274402a     0     00000000     0     00000000
010c     00000074     0274402a     0     00000000     0     00000000
010d     00000074     0274402a     1     00000000     0     00000000
010e     00000074     0274402a     0     00000000     0     00000000
010f     00000078     11000002     0     00000000     0     00000000
0110     00000078     11000002     0     00000000     0     00000000
0111     00000080     11000002     0     00000000     0     00000000
0112     00000084     2231fffc     0     00000000     0     00000000
0113     00000084     2231fffc     0     00000000     0     00000000
0114     00000084     2231fffc     1     00000000     0     00000000
0115     00000084     2231fffc     0     00000000     0     00000000
0116     00000088     1611fff8     0     00000000     0     00000000
0117     00000088     1611fff8     0     00000000     0     00000000
0118     00000088     1611fff8     0     00000000     0     00000000
0119     0000008c     22100004     0     00000000     0     00000000
011a     0000008c     22100004     0     00000000     0     00000000
011b     0000008c     22100004     1     00000004     0     00000000
011c     0000008c     22100004     0     00000000     0     00000000
011d     00000090     2011001c     0     00000000     0     00000000
011e     00000090     2011001c     0     00000000     0     00000000
011f     00000090     2011001c     1     0000001c     0     00000000
0120     00000090     2011001c     0     00000000     0     00000000
0121     00000094     1611fff5     0     00000000     0     00000000
0122     00000094     1611fff5     0     00000000     0     00000000
0123     00000068     1611fff5     0     00000000     0     00000000
0124     0000006c     8e130200     0     00000000     0     00000000
0125     0000006c     8e130200     0     00000000     0     00000000
0126     0000006c     8e130200     0     00000000     0     00000000
0127     0000006c     8e130200     1     00000000     0     00000000
0128     0000006c     8e130200     0     00000000     0     00000000
0129     00000070     8e340200     0     00000000     0     00000000
012a     00000070     8e340200     0     00000000     0     00000000
012b     00000070     8e340200     0     00000000     0     00000000
012c     00000070     8e340200     1     ffffffff     0     00000000
012d     00000070     8e340200     0     00000000     0     00000000
012e     00000074     0274402a     0     00000000     0     00000000
012f     00000074     0274402a     0     00000000     0     00000000
0130     00000074     0274402a     1     00000000     0     00000000
0131     00000074     0274402a     0     00000000     0     00000000
0132     00000078     11000002     0     00000000     0     00000000
0133     00000078     11000002     0     00000000     0     00000000
0134     00000080     11000002     0     00000000     0     00000000
0135     00000084     2231fffc     0     00000000     0     00000000
0136     00000084     2231fffc     0     00000000     0     00000000
0137     00000084     2231fffc     1     00000018     0     00000000
0138     00000084     2231fffc     0     00000000     0     00000000
0139     00000088     1611fff8     0     00000000     0     00000000
013a     00000088     1611fff8     0     00000000     0     00000000
013b     00000068     1611fff8     0     00000000     0     00000000
013c     0000006c     8e130200     0     00000000     0     00000000
013d     0000006c     8e130200     0     00000000     0     00000000
013e     0000006c     8e130200     0     00000000     0     00000000
013f     0000006c     8e130200     1     00000000     0     00000000
0140     0000006c     8e130200     0     00000000     0     00000000
0141     00000070     8e340200     0     00000000     0     00000000
0142     00000070     8e340200     0     00000000     0     00000000
0143     00000070     8e340200     0     00000000     0     00000000
0144     00000070     8e340200     1     00000005     0     00000000
0145     00000070     8e340200     0     00000000     0     00000000
0146     00000074     0274402a     0     00000000     0     00000000
0147     00000074     0274402a     0     00000000     0     00000000
0148     00000074     0274402a     1     00000001     0     00000000
0149     00000074     0274402a     0     00000000     0     00000000
014a     00000078     11000002     0     00000000     0     00000000
014b     00000078     11000002     0     00000000     0     00000000
014c     00000078     11000002     0     00000000     0     00000000
014d     0000007c     ae330200     0     00000000     0     00000000
014e     0000007c     ae330200     0     00000000     0     00000000
014f     0000007c     ae330200     0     00000000     1     00000000
0150     0000007c     ae330200     0     00000000     0     00000000
0151     00000080     ae140200     0     00000000     0     00000000
0152     00000080     ae140200     0     00000000     0     00000000
0153     00000080     ae140200     0     00000000     1     00000005
0154     00000080     ae140200     0     00000000     0     00000000
0155     00000084     2231fffc     0     00000000     0     00000000
0156     00000084     2231fffc     0     00000000     0     00000000
0157     00000084     2231fffc     1     00000014     0     00000000
0158     00000084     2231fffc     0     00000000     0     00000000
0159     00000088     1611fff8     0     00000000     0     00000000
015a     00000088     1611fff8     0     00000000     0     00000000
015b     00000068     1611fff8     0     00000000     0     00000000
015c     0000006c     8e130200     0     00000000     0     00000000
015d     0000006c     8e130200     0     00000000     0     00000000
015e     0000006c     8e130200     0     00000000     0     00000000
015f     0000006c     8e130200     1     00000005     0     00000000
0160     0000006c     8e130200     0     00000000     0     00000000
0161     00000070     8e340200     0     00000000     0     00000000
0162     00000070     8e340200     0     00000000     0     00000000
0163     00000070     8e340200     0     00000000     0     00000000
0164     00000070     8e340200     1     00000004     0     00000000
0165     00000070     8e340200     0     00000000     0     00000000
0166     00000074     0274402a     0     00000000     0     00000000
0167     00000074     0274402a     0     00000000     0     00000000
0168     00000074     0274402a     1     00000000     0     00000000
0169     00000074     0274402a     0     00000000     0     00000000
016a     00000078     11000002     0     00000000     0     00000000
016b     00000078     11000002     0     00000000     0     00000000
016c     00000080     11000002     0     00000000     0     00000000
016d     00000084     2231fffc     0     00000000     0     00000000
016e     00000084     2231fffc     0     00000000     0     00000000
016f     00000084     2231fffc     1     00000010     0     00000000
0170     00000084     2231fffc     0     00000000     0     00000000
0171     00000088     1611fff8     0     00000000     0     00000000
0172     00000088     1611fff8     0     00000000     0     00000000
0173     00000068     1611fff8     0     00000000     0     00000000
0174     0000006c     8e130200     0     00000000     0     00000000
0175     0000006c     8e130200     0     00000000     0     00000000
0176     0000006c     8e130200     0     00000000     0     00000000
0177     0000006c     8e130200     1     00000005     0     00000000
0178     0000006c     8e130200     0     00000000     0     00000000
0179     00000070     8e340200     0     00000000     0     00000000
017a     00000070     8e340200     0     00000000     0     00000000
017b     00000070     8e340200     0     00000000     0     00000000
017c     00000070     8e340200     1     00000003     0     00000000
017d     00000070     8e340200     0     00000000     0     00000000
017e     00000074     0274402a     0     00000000     0     00000000
017f     00000074     0274402a     0     00000000     0     00000000
0180     00000074     0274402a     1     00000000     0     00000000
0181     00000074     0274402a     0     00000000     0     00000000
0182     00000078     11000002     0     00000000     0     00000000
0183     00000078     11000002     0     00000000     0     00000000
0184     00000080     11000002     0     00000000     0     00000000
0185     00000084     2231fffc     0     00000000     0     00000000
0186     00000084     2231fffc     0     00000000     0     00000000
0187     00000084     2231fffc     1     0000000c     0     00000000
0188     00000084     2231fffc     0     00000000     0     00000000
